,IsWinner,ProductId,TimeOfOfferChange,ConditionNotes,IsFeaturedMerchant,IsFulfilledByAmazon,ListingPrice,SellerFeedbackRating,SellerFeedbackCount,SellerId,ShippingPrice,ShippingTime_minHours,ShippingTime_maxHours,ShipsFromCountry,ShipsFromState
1,1,-4885255916155087854,2016-02-04T04:26:52.136Z,"Ready To Ship - We are unable to ship to PO Boxes, NT, YT and NU Territories",1,0,107.35,95,4078,-1789487307643024748,0.0,48,72,CA,ON
2,0,-4885255916155087854,2016-02-04T04:26:52.136Z,.,1,0,100.46,98,478,5452082314297826053,6.99,24,48,CA,ON
3,0,-4885255916155087854,2016-02-04T04:26:52.136Z,Fast shipping in Canada.,1,0,99.24,95,4384,-2572277640783537773,11.67,24,48,CA,ON
4,0,-4885255916155087854,2016-02-04T04:26:52.136Z,nan,0,0,109.48,94,105,-8704029307873847986,8.99,24,48,CA,ON
5,0,-4885255916155087854,2016-02-04T04:26:52.136Z,nan,0,0,116.7,67,9,1929046423112965216,6.98,24,48,CA,AB
6,0,-4885255916155087854,2016-02-04T04:26:52.136Z,*Free shipping from Canada / Livraison GRATUITE depuis Canada*,1,0,124.69,100,4601,5657218934756058127,0.0,24,48,CA,ON
7,0,-4885255916155087854,2016-02-04T04:26:52.136Z,nan,1,0,120.08,96,1790,1788801474825896666,9.98,96,120,US,NY
9,0,-4885255916155087854,2016-02-04T04:26:52.136Z,nan,1,0,121.27,96,1790,1788801474825896666,9.98,96,120,US,NY
10,0,-4885255916155087854,2016-02-04T04:26:52.136Z,"Brand new items, Experienced seller, Shipping from Canada, French and English Service. / I",1,0,133.12,96,35264,6791568714796518563,0.0,96,120,CA,QC
11,0,-4885255916155087854,2016-02-04T04:26:52.136Z,Brand new and ready to ship from CANADA **** FAST SHIPPING ***,1,0,123.77,96,7090,-373508113925093038,12.95,24,48,CA,ON
12,0,-4885255916155087854,2016-02-04T04:26:52.136Z,nan,1,0,139.58,94,178,-8070122054366980138,0.0,24,48,US,NV
14,0,-4885255916155087854,2016-02-04T04:26:52.136Z,We ship by courier next day when possible on most items. We do not ship to PO boxes.We do,1,0,131.25,94,337,2760162070632027753,14.99,24,48,CA,QC
20,0,-6219878023547990916,2016-02-04T04:27:21.627Z,nan,0,0,78.64,98,3293,4143506568603310959,10.99,24,48,US,NY
21,1,-6219878023547990916,2016-02-04T04:27:21.627Z,"Brand new items, Experienced seller, Shipping from Canada, French and English Service. / I",1,0,89.64,96,35264,6791568714796518563,0.0,96,120,CA,QC
23,0,-6219878023547990916,2016-02-04T04:27:21.627Z,nan,1,0,81.49,96,1790,1788801474825896666,9.98,96,120,US,NY
24,0,-6219878023547990916,2016-02-04T04:27:21.627Z,nan,1,0,82.56,96,1790,1788801474825896666,9.98,96,120,US,NY
25,0,-6219878023547990916,2016-02-04T04:27:21.627Z,nan,1,0,74.07,93,2521,-5016003493506265192,21.69,24,48,US,VA
26,0,-6219878023547990916,2016-02-04T04:27:21.627Z,"GST/HST Only, No PST. Part Number: S524-01M",1,0,85.75,95,4384,-2572277640783537773,11.31,24,48,CA,ON
